id,name,email,role,password
1,Alice Carter,01@school.com,student,scrypt:32768:8:1$IXs6QwBCH9gtAxko$1ea1ce861955692823f68a8195ed21ab27436c197104924ac730ecff67524372e5fe44a4afe85581a32485d2b7f0badc346acbe2a24d569606c8cde810b122c5
2,Brian Davis,02@school.com,student,scrypt:32768:8:1$wtmRGD8WReWxWLV5$12b61e859e3a9a4d35c364437d48594f92872f18f2f55d98c3f9dc3aa259ce48e8296ecea405d86f7024a624ad849f1b0afc55110f17a9bd33da4517288c553d
3,Chloe Evans,03@school.com,student,scrypt:32768:8:1$YniEVywAcwPogRH2$570d18cc9b6012e16b21f0c0b87c7754b3149d3ec8ad1eae60a992761092fa0d7f67a021e1c62677edf82f83d28f69c5fd4a405ffeae018e88fc312db201478d
4,Daniel Flores,04@school.com,student,scrypt:32768:8:1$xJJgHFQvUztcbUEE$4657e00aa4c244df3383e2dd08ea7b6d27b0aba824e724576509c8cd94281f956df3549efe7b4ee8069f65b3c50f93882d7ca8423ba3b63ad62a2460161deefa
5,Emily Garcia,05@school.com,student,scrypt:32768:8:1$caNZp6EiRk3smgCR$7cee69d8145f10d51044904b7703e248df3663493e903f8c14e9c55f7946e0581b5645d4c978f9fdae9c7ec1dfc81db65dd14abe23a952aaf18770e072b15751
6,Frank Harris,06@school.com,student,scrypt:32768:8:1$RoMT80s4hO1txf04$b60efd92c2a6a81b88f9378457dca879e02547b0f6e1dc1f2532ed85c638e6739c4eab266b20f1d34474fabbac1528d9c0dd8c03908873516882a29e71613350
7,Grace Ingram,07@school.com,student,scrypt:32768:8:1$KCLX9uI3msCjJA29$718f95e8f3747ea105da6a834730f9bfca71a73a96063665d0a2188694661a006a58adfa2bde5b5f671ebde10b03553d8d251fa29e56956de595ac52d57ed392
8,Henry Johnson,08@school.com,student,scrypt:32768:8:1$QfkvZuYbfyvEtDyL$7cd1e7dabc3777ac41c9220daea0666d9d05be83006311fe863e8aaa17aeefa4819f04f450bcadc8ca13866eea39b820ba5a0334b390fbd9355e2d39d3db267f
9,Isla King,09@school.com,student,scrypt:32768:8:1$GL1nvuWZQygndUgA$484f55d051f3d235d5c308c15873fb2991fa29f941678687acbced328560cc69d023ed2f850595ae45bc0d7ac5f1c33d7b5b7fb5f5a910cedabb36a81f6c472b
10,Jack Lee,10@school.com,student,scrypt:32768:8:1$Qgmm4DJXR93YtdSW$eadbaa1ad2361a26d4e0faa773cd15fbe12fb8db51e67b697c551b7abd40df9456968f26eca2072b335cef5446bf52eb1dfc51f866acbd3250ddf255f61dc57b
600,James G,600@school.com,student,scrypt:32768:8:1$tyQLH393yixC8wLA$c9b056639880324df0d783a0228039d50af50009c37a2e2febadb824c760d63194d4866acbbd4c4b717ddb6a2153f2b584113a694883adf8976181e8a677d3be
601,James G2,601@school.com,student,scrypt:32768:8:1$5uncgdgVomGYwF5Y$c97451ffa45ffbdc865444f8f97f204c8cd38f084a5bb5a4ed0472ff53421f76db3bb0f7efc5efeea07430544ad304da9328663a287b4fa3d28ae8e74c82c245
602,James G3,602@school.com,student,scrypt:32768:8:1$4NyOLAAouH8ZSjHx$076d11359799552370504e1f73aa0e626412e8e5dcc3897f0af71c301d131c56e2a2d60a6be2555770033d637840c960fd835fb7831513a504915696af48256f
603,James G4,603@school.com,student,scrypt:32768:8:1$17phWbvI2uHMnZHi$bb9c2cd1665b0134b6cef62a36d16d28f9b8eb5ad97d0a7199576ba17ec1909e5f35c681a805420ef05f477a151ee57a3700e733d1cecc26690b53d49ffb454b
604,James G5,604@school.com,student,scrypt:32768:8:1$LdzcCKkQNOnXGOfA$ccc299113fee9262c76cfc35f1376c0bc3df6c1babe5bd423fa7ed52efa994e7028313d6e9dbd0348b2620f5b26e6421c4fde7659bfad5d3c0b0606ae4961063
605,James G6,605@school.com,student,scrypt:32768:8:1$9dENyKVkRCjXKlwe$a7ceb723ac3e24900d665b074ef67e3a98ef4c83e090ce1313ffc9bde1c7c3fc7a005ad6154fd4bd16be96c1a1a874583afbb5328ef92237b704b05e3257ebb0
900,James Gliem,Teacher@school.com,teacher,scrypt:32768:8:1$kHOwM3PW50oHsWzE$0dfc558b833ba645fd765d7c888fbd0e1a0b3d8ce4a6594fa02f29f7a473944bbe838de45324b3884e6c88df4b7e03646e603dc9de6c29f7cc47f68c79d436e8
901,Peter Quinn,Teacher1@school.com,teacher,scrypt:32768:8:1$FEhqDVLSc3HSojOl$5c5079838a60e80964fac156e4e4fdc19fce3ed9a0e0d703cc66a59f850a730d982b2f028aa2c818bbf325896d0e13b9e7a9e9c547a85e223539caf26a1a5f0e
902,Rachel Scott,Teacher2@school.com,teacher,scrypt:32768:8:1$JQ8d6GRCSP5oZJRv$531ca2823a38e4ff9127ae48299297312718c79c898c6709cdfa895b82076c1a2f41c17afc4157ae452c1b56c845f4fc580de1d58be0bae15ab390e20cf4844e
